"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","Тестирование главной страницы","9","","43","0","","0"
"1","Test integrations","0","","9","0","","0"
"0","LogsTest","0","","5","0","","0"
"0","CoursesTest","0","","2","0","","0"
"0","Тестирование GQL","0","","1","0","","0"
"0","EducationProgramsTest","0","","3","3","","0"
"0","ExternalApiTests","0","","4","0","","0"
"1","Тестирование страницы отчетов SRR","1","","2","0","","0"
"0","ApiTestsPD","0","","3","3","","0"
"1","Тестирование страницы 'Редактор'","0","","0","0","","0"
