"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","LogsTest","0","","0","0","","0"
"56","Тестирование главной страницы","0","","0","0","","0"
"0","ApiTestsPD","0","","3","3","","0"
"0","Тестирование GQL","0","","1","0","","0"
"0","Test integrations","0","","10","0","","0"
"3","ExternalApiTests","0","","1","0","","0"
"4","Тестирование страницы отчетов SRR","0","","0","0","","0"
"0","EducationProgramsTest","0","","3","3","","0"
"1","Тестирование страницы 'Редактор'","0","","0","0","","0"
"0","CoursesTest","0","","2","0","","0"
